Type of employment:,Department:,"Please rate the extent to which you agree with each of the statement below regarding your experience as a faculty member in the School of Engineering.  Note that this set of questions refers to your experience in the School of Engineering, while a second set of questions will refer to your particular department.  . If you are a newer faculty member, please respond based on your experience so far or use “n/a” if you don’t have enough experience yet to be sure about your answer.",,,,,,,,,,,,,,Please rate the extent to which you agree with each of the statement below regarding your experience as a faculty member IN YOUR PARTICULAR DEPARTMENT.,,,,,
Response,Response,I have opportunities to voice my opinion about policies and procedures affecting the School of Engineering.,I have opportunities to have input into decisions that impact the School.,School leadership communicates about the rationale for decisions.,School leadership shares information openly.,I am familiar with the priorities in our current School of Engineering strategic plan.,I have an updated sense of where the School of Engineering is in implementing our strategic plan.,I am satisfied with the overall direction of the School of Engineering.,There is an open system of communication between faculty and administration in the School of Engineering.,Our system of shared governance is effective.,The leadership of the School of Engineering is effective.,"Overall, I am satisfied with the leadership of the School of Engineering.",I would recommend the School of Engineering as a good place to work.,Faculty in the School of Engineering have collegial relationships.,Faculty receive appreciation and recognition for their accomplishments.,I have opportunities to voice my opinion about decisions affecting my department.,My department chair shares relevant information with faculty in our department.,I am familiar with strategic goals and priorities for our department.,Leadership in my department is effective.,I would recommend my department as a good place to work.,Faculty in my department have collegial relationships.
1,3,0,5,5,4,5,4,4,4,2,4,4,5,4,5,5,4,5,4,5,5
3,1,3,3,4,5,5,5,4,3,3,4,3,4,3,3,5,5,5,5,5,5
1,4,2,1,2,2,4,2,2,2,2,2,1,1,1,3,1,1,4,1,1,1
1,1,5,5,5,5,5,5,5,5,5,5,5,5,0,4,5,5,5,5,5,5
1,5,4,,4,3,4,4,3,3,2,4,4,3,4,4,5,5,4,5,4,4
2,5,4,4,5,5,4,4,4,4,4,5,5,5,4,4,4,4,5,4,4,5
4,1,4,4,4,4,4,4,4,4,0,5,5,5,4,3,5,5,5,5,5,5
1,,4,3,4,2,4,3,2,4,2,3,2,3,4,2,4,4,2,1,2,4
3,2,4,3,4,4,3,4,5,4,0,5,5,5,3,4,4,4,0,4,4,3
1,3,3,2,1,1,3,2,3,2,2,2,2,,4,3,4,3,2,2,3,2
1,5,3,2,2,2,3,3,4,2,3,3,3,4,4,4,4,3,3,3,4,4
3,2,0,,0,0,0,0,0,0,0,0,0,0,0,,5,3,4,4,4,4
3,2,5,5,5,5,5,5,5,4,4,5,5,,4,4,5,5,4,4,4,4
2,4,4,3,4,3,4,3,4,4,3,4,4,4,4,4,3,4,4,4,3,3
3,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4
2,6,2,1,2,4,3,3,2,1,3,2,2,3,4,1,4,5,4,4,5,3
3,6,4,4,4,4,4,3,4,4,4,4,5,5,5,4,5,5,4,5,5,5
1,5,2,1,1,2,2,1,1,3,1,1,1,1,2,2,2,3,2,2,1,3
3,3,3,3,4,3,5,3,3,3,0,4,4,0,4,3,4,4,4,4,4,4
4,1,4,4,4,4,4,4,4,4,4,5,5,5,4,4,4,4,4,4,4,4
2,6,0,0,,2,1,1,1,1,2,1,1,2,0,1,4,4,3,4,3,4
3,4,4,4,4,5,5,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5
4,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,,2,2,1,2,2,1,2,2,1,2,2,3,4,3,4,4,4,3,4,5
2,2,4,5,4,4,4,4,5,4,4,4,4,4,4,4,5,4,3,4,4,4
4,1,5,5,3,4,5,5,4,4,3,4,4,4,4,4,5,2,2,4,3,3
1,6,4,2,2,2,4,4,3,2,1,2,2,2,2,1,5,5,5,5,5,5
2,2,5,4,3,3,4,4,5,4,4,4,4,5,5,4,5,5,3,4,4,4
1,4,5,5,4,4,4,4,5,4,4,4,5,5,5,5,5,5,4,5,5,5
1,4,3,3,3,4,3,4,3,3,3,3,3,4,4,3,5,5,5,4,4,5
4,1,4,4,4,4,4,4,5,5,4,5,5,5,4,4,4,4,4,5,5,5
1,5,1,1,2,2,3,2,3,1,1,2,2,2,4,2,3,4,2,3,4,4
2,5,4,4,0,0,3,2,4,5,0,4,4,4,4,0,5,4,4,4,4,4
3,5,4,5,4,4,5,5,4,4,5,3,4,4,4,3,4,3,4,4,4,4
2,3,4,4,4,3,4,3,4,4,3,4,4,4,3,3,3,3,3,3,3,3
2,2,4,4,4,3,4,4,4,4,4,4,4,5,5,5,4,5,4,4,5,5
1,2,3,2,2,2,4,2,3,2,2,2,2,,3,3,4,2,4,1,3,3
,,3,3,2,2,4,3,3,3,2,2,3,3,4,2,4,4,4,4,4,3
2,2,2,2,2,2,4,2,3,2,1,4,3,3,2,1,4,3,1,1,1,1
1,,2,2,2,2,4,3,3,1,1,2,2,3,4,3,4,4,4,3,4,4
3,6,4,2,3,4,3,4,4,3,4,3,3,4,4,4,4,5,5,5,5,5
3,6,2,1,1,1,3,1,1,1,1,1,1,1,3,2,5,5,4,5,5,3
1,,2,1,1,2,2,2,1,1,1,1,1,2,4,1,2,3,2,2,2,4
1,5,5,2,2,2,4,3,4,4,3,4,4,3,4,2,5,5,5,5,5,5
4,1,3,2,4,3,3,3,3,1,0,4,3,4,3,0,4,3,3,2,3,4
1,3,4,1,1,3,2,2,2,2,2,2,2,2,4,1,4,4,4,2,4,4
4,1,5,5,5,4,4,4,5,5,0,4,4,4,4,5,5,0,4,4,5,5
3,6,3,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3,1,5,5,4,4,5,4,5,5,3,5,5,5,4,5,5,4,5,5,5,5
2,5,5,5,5,4,5,5,4,5,0,5,5,5,4,5,5,5,5,5,5,4
4,2,2,3,1,2,3,2,2,1,2,2,2,3,3,1,2,3,1,2,2,3
1,3,4,2,2,2,4,4,3,2,2,3,3,2,4,3,4,1,3,3,2,4
2,4,3,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4
1,5,4,2,1,2,3,3,2,3,1,2,2,3,4,4,5,4,4,4,3,4
2,4,4,4,3,4,5,3,4,4,3,4,4,5,5,5,5,5,4,3,4,5
4,1,5,5,4,4,4,4,5,4,4,5,5,5,4,4,5,5,4,5,5,4
1,2,5,5,5,5,5,4,5,5,4,5,5,5,4,4,5,5,5,5,5,4
4,1,2,1,1,1,4,4,2,1,1,2,2,2,2,2,5,5,5,5,5,5
